NP_ID,disposition,execution_status,source_or_method_basis,evaluability_decision,notes
NP01,NONE_SOURCE_DEFINED,NOT_APPLICABLE,prespecified applicability inventory; no additional source-defined native sensitivity,NE_NOT_APPLICABLE,Terminal-weight perturbation and single-criterion deletion analyses remain separate; no additional source-defined sensitivity lever is available.
NP02,NONE_SOURCE_DEFINED,NOT_APPLICABLE,prespecified applicability inventory; no additional source-defined native sensitivity,NE_NOT_APPLICABLE,No source-defined native sensitivity beyond the completed robustness analyses.
NP03,NONE_SOURCE_DEFINED,NOT_APPLICABLE,"Direction ambiguity already handled as prospectively parallel interpretation branch, not native sensitivity",NE_NOT_APPLICABLE,Direction ambiguity is represented by the two prespecified interpretation branches and is not treated as native sensitivity.
NP04,EXECUTED_NATIVE_SENSITIVITY,EXECUTED,Cao et al. 2024 sensitivity section Eq.(31); source-resolved specification after documented source/implementation comparison; workbook comparison retained as secondary source evidence,UNIQUELY_EXECUTABLE,Exactly 30 SOURCE_DEFINED_EQ31 scenarios S1-S30; PC/EU/MSC factors 0.95..0.05; rough endpoints preserved.
NP05,NONE_SOURCE_DEFINED,NOT_APPLICABLE,Six p-HFC configurations are co-primary baselines; q=2 and beta=3 fixed,NE_NOT_APPLICABLE,The six co-primary configurations are baseline configurations rather than sensitivity levers.
NP06,PUBLICATION_REPORTED_ONLY__RECONSTRUCTION_NE,NE,"Gürbüz et al. 2012 reports interaction-off comparison, but public source does not uniquely supply operative no-interaction ANP chain/top-level judgments",NOT_UNIQUELY_EXECUTABLE,No surrogate calculation; source-reported A4>A1>A2>A3 retained contextually only.
NP07,NE_METHOD_OR_SOURCE,NE,Temur & Bolat 2018 CBDO robustness reanalysis has undocumented random GUI starting state/seed and implementation codes,NOT_UNIQUELY_EXECUTABLE,No CBDO emulation.
NP08,NE_METHOD_OR_SOURCE,NE,No terminally unique native baseline under documented source resolution,NOT_EXECUTABLE,No source-defined sensitivity branch is available.
NP09,NE_METHOD_OR_SOURCE,NE,Literal native chain nonfinite at public source,NOT_EXECUTABLE,No source-defined sensitivity branch is available.
NP10,NE_METHOD_OR_SOURCE,NE,D0/O3 source limitation; Supplementary Tables S1–S6 and the operative Qb/Qn direction mapping are unavailable in the documented public source chain,NOT_EXECUTABLE,No native sensitivity or terminal baseline is uniquely executable from the documented public source chain.
NP11,NONE_SOURCE_DEFINED,NOT_APPLICABLE,No additional source-defined native sensitivity; solver starts/tolerances/M/DEMATEL prohibited as levers,NE_NOT_APPLICABLE,LFPP numerical conventions and the single-criterion deletion specification are held fixed for this source-defined sensitivity analysis.
NP12,EXECUTED_NATIVE_SENSITIVITY,EXECUTED,Başar & Arslan 2017 source-reported VIKOR q/v sweep,UNIQUELY_EXECUTABLE,"Exactly q/v={0,0.25,0.50,0.75,1.00}; q=0.50 remains the prespecified baseline for terminal-weight perturbation and single-criterion deletion analyses."
