input_id,kind,basis,row_id,col_id,l,m,u,value,source_status,source_locator,notes
CRIT_C1_C2,criteria_pairwise,criteria,C1,C2,0.125,0.14285714285714285,0.16666666666666666,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C1_C3,criteria_pairwise,criteria,C1,C3,0.5,1,2,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C1_C4,criteria_pairwise,criteria,C1,C4,0.25,0.3333333333333333,0.5,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C1_C5,criteria_pairwise,criteria,C1,C5,1,2,3,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C1_C6,criteria_pairwise,criteria,C1,C6,0.1111111111111111,0.125,0.14285714285714285,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C2_C3,criteria_pairwise,criteria,C2,C3,2,3,4,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C2_C4,criteria_pairwise,criteria,C2,C4,3,4,5,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C2_C5,criteria_pairwise,criteria,C2,C5,7,8,9,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C2_C6,criteria_pairwise,criteria,C2,C6,1,2,3,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C3_C4,criteria_pairwise,criteria,C3,C4,0.5,1,2,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C3_C5,criteria_pairwise,criteria,C3,C5,2,3,4,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C3_C6,criteria_pairwise,criteria,C3,C6,0.25,0.3333333333333333,0.5,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C4_C5,criteria_pairwise,criteria,C4,C5,1,2,3,,SOURCE_EXPLICIT_REEVALUATED,"PDF p.8, Table 2; re-evaluation note directly below table",
CRIT_C4_C6,criteria_pairwise,criteria,C4,C6,0.25,0.3333333333333333,0.5,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C5_C6,criteria_pairwise,criteria,C5,C6,0.14285714285714285,0.16666666666666666,0.2,,SOURCE_EXPLICIT,"PDF p.8, Table 2",
CRIT_C4_C5_FIRST_EVALUATED,context_only,criteria,C4,C5,3,4,5,,SOURCE_EXPLICIT_SUPERSEDED,"PDF p.8, Table 2 note “First evaluated”","Superseded by explicit re-evaluated a45=(1,2,3); not used in computation."
ALT_C1_S1_S2,alternative_pairwise,C1,S1,S2,1,2,3,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C1_S1_S3,alternative_pairwise,C1,S1,S3,0.5,1,2,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C1_S1_S4,alternative_pairwise,C1,S1,S4,1,2,3,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C1_S2_S3,alternative_pairwise,C1,S2,S3,0.5,1,2,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C1_S2_S4,alternative_pairwise,C1,S2,S4,1,2,3,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C1_S3_S4,alternative_pairwise,C1,S3,S4,1,2,3,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C2_S1_S2,alternative_pairwise,C2,S1,S2,0.5,1,2,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
