NP_ID,terminal_weight_perturbation_applicability,terminal_weight_perturbation_key_result,single_criterion_deletion_preflight,single_criterion_deletion_execution_status,single_criterion_deletion_operation_type,single_criterion_deletion_exact_denominator,single_criterion_deletion_key_result,native_sensitivity,interpretation,denominator_metadata,branch_configuration_label,source_reference,source_path,ne_no_semantics
NP01,APPLICABLE,Winner retention at δ=0.40: 0.7207,APPLICABLE,RESULT-PRODUCING,native reweighting after deletion,11/12 winner-retaining deletions,Winner retained 11/12 deletions (0.9167),NONE_SOURCE_DEFINED,Decision ranking reconstructs despite score-level mismatch; weight and deletion stress give different stability profiles.,"Terminal-weight perturbation analysis: 10,000 draws/delta per applicable branch/configuration; single-criterion deletion analysis: exact finite deletion denominators shown per lineage",NP03 primary strict + secondary prospectively preserved plausible direction; NP05 six co-primary configs; NP12 native recommendation set,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP02,APPLICABLE,Winner retention at δ=0.40: 0.9999,APPLICABLE,RESULT-PRODUCING,native reweighting after deletion,4/5,Winner retained 4/5 deletions (0.8000),NONE_SOURCE_DEFINED,Extremely stable to terminal-weight stress but one criterion deletion changes the winner.,"Terminal-weight perturbation analysis: 10,000 draws/delta per applicable branch/configuration; single-criterion deletion analysis: exact finite deletion denominators shown per lineage",NP03 primary strict + secondary prospectively preserved plausible direction; NP05 six co-primary configs; NP12 native recommendation set,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP03,APPLICABLE (2 prespecified branches),δ=0.40 winner retention: strict 0.9902; ERP04-cost parallel 0.4115,APPLICABLE (2 branches),RESULT-PRODUCING (2 branches),terminal/native recomputation per prespecified TOPSIS branch; same deletion across both prespecified branches,strict 15/15; plausible-direction branch 10/15,Winner retained: strict 15/15; parallel 10/15,NONE_SOURCE_DEFINED,"Winner survives reconstruction, but full order does not; robustness conclusion is highly sensitive to a prospectively preserved source-direction interpretation.","Terminal-weight perturbation analysis: 10,000 draws/delta per applicable branch/configuration; single-criterion deletion analysis: exact finite deletion denominators shown per lineage",NP03 primary strict + secondary prospectively preserved plausible direction; NP05 six co-primary configs; NP12 native recommendation set,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP04,NE,NE under the terminal-weight perturbation analysis,APPLICABLE,RESULT-PRODUCING,prespecified literal Rough-WISP deletion chain,11/12,Winner retained 11/12 deletions (0.9167),EXECUTED: 30 source-defined Eq. (31) scenarios,Source-workbook implementation inconsistency affected score values but produced 0 complete-rank changes and 0 winner-set changes; S16 is a separate checkpoint/rounding-sensitive internal tie with no winner effect.,"Terminal-weight perturbation analysis: 10,000 draws/delta per applicable branch/configuration; single-criterion deletion analysis: exact finite deletion denominators shown per lineage",NP03 primary strict + secondary prospectively preserved plausible direction; NP05 six co-primary configs; NP12 native recommendation set,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP05,APPLICABLE (6 co-primary configurations),Winner retention 1.0000 for all six configurations at every δ,APPLICABLE (C1-C5; C6 prospectively NE),RESULT-PRODUCING (5 eligible deletions/configuration),terminal/native recomputation; C1-C5 only; C6 NE as sole cost criterion,5/5 eligible deletions in each of 6 co-primary configurations; C6 NE,Winner retained 5/5 eligible deletions in all 6 configurations; top-2 both retained only 1/5,NONE_SOURCE_DEFINED,Winner is extremely stable while internal rank structure is much less stable under criterion deletion.,"Terminal-weight perturbation analysis: 10,000 draws/delta per applicable branch/configuration; single-criterion deletion analysis: exact finite deletion denominators shown per lineage",NP03 primary strict + secondary prospectively preserved plausible direction; NP05 six co-primary configs; NP12 native recommendation set,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP06,NE,NE,NE,NE,NE,NE,NE: reduced Choquet capacity not defensibly reconstructible,PUBLICATION_REPORTED_ONLY__RECONSTRUCTION_NE,"Paper reports an interaction-off comparison, but the public source does not uniquely support a source-defined no-interaction reconstruction.","Terminal-weight perturbation analysis: 10,000 draws/delta per applicable branch/configuration; single-criterion deletion analysis: exact finite deletion denominators shown per lineage",NP03 primary strict + secondary prospectively preserved plausible direction; NP05 six co-primary configs; NP12 native recommendation set,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP07,APPLICABLE (Kılıç baseline only),Winner retention at δ=0.40: 0.5295,APPLICABLE (Kılıç baseline only),RESULT-PRODUCING (Kılıç baseline only),Kılıç 2015 executable baseline; method-compatible deletion,7/11,Winner retained 7/11 deletions (0.6364),NE for exact linked CBDO replication,One of the clearest fragile cases across both robustness analyses; linked stochastic reanalysis is not exactly reproducible without undocumented random state/code.,"Terminal-weight perturbation analysis: 10,000 draws/delta per applicable branch/configuration; single-criterion deletion analysis: exact finite deletion denominators shown per lineage",NP03 primary strict + secondary prospectively preserved plausible direction; NP05 six co-primary configs; NP12 native recommendation set,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP08,NE,NE,NE,NE,NE,NE,NE,NE_METHOD_OR_SOURCE,Literal LP is non-unique with zero-objective optima and no source tie-break; solver-specific terminal rank is not retained as a scientific finding.,"Terminal-weight perturbation analysis: 10,000 draws/delta per applicable branch/configuration; single-criterion deletion analysis: exact finite deletion denominators shown per lineage",NP03 primary strict + secondary prospectively preserved plausible direction; NP05 six co-primary configs; NP12 native recommendation set,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP09,NE,NE,NE,NE,NE,NE,NE,NE_METHOD_OR_SOURCE,"Literal published chain reaches ln(0), with no documented epsilon/clipping repair.","Terminal-weight perturbation analysis: 10,000 draws/delta per applicable branch/configuration; single-criterion deletion analysis: exact finite deletion denominators shown per lineage",NP03 primary strict + secondary prospectively preserved plausible direction; NP05 six co-primary configs; NP12 native recommendation set,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP10,NE,NE,NE,NE,NE,NE,NE,NE_METHOD_OR_SOURCE,Referenced Supplementary Tables S1-S6 and operative case-study direction mapping are unavailable; source limitation documented.,"Terminal-weight perturbation analysis: 10,000 draws/delta per applicable branch/configuration; single-criterion deletion analysis: exact finite deletion denominators shown per lineage",NP03 primary strict + secondary prospectively preserved plausible direction; NP05 six co-primary configs; NP12 native recommendation set,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
