NP_ID,baseline_rule,terminal_weight_perturbation_applicability,terminal_weight_object,terminal_weight_source_locator,terminal_weight_representation_preserving,terminal_weight_perturbation_design,terminal_weight_perturbation_seed,terminal_weight_perturbation_recompute_checkpoint,single_criterion_deletion_applicability,single_criterion_deletion_operation_type,single_criterion_deletion_exact_recomputation,single_criterion_deletion_structurally_undefined,single_criterion_deletion_tie_handling,native_sensitivity_prespecified_only,native_sensitivity_source_locator,ambiguity_parallel_rule,decision_matrix_perturbation,robustness_applicability_summary
NP01,NP01_PRIMARY,APPLICABLE,Cr1=0.149498779334; Cr2=0.041633060727; Cr3=0.094345734018; Cr4=0.052635939713; Cr5=0.066589337739; Cr6=0.055653723929; Cr7=0.074646558442; Cr8=0.100223319224; Cr9=0.041534337462; Cr10=0.102350919375; Cr11=0.151710947076; Cr12=0.069177342961,results/reference/native/NP01/NP01_COMPUTED_OUTPUTS_PRECOMPARISON.csv; derived from D3 FAHP Tables 2–5,YES — final TOPSIS uses a scalar 12-criterion global weight vector,"delta={0.05,0.10,0.20,0.30,0.40}; 10,000 multiplicative independent Uniform[-delta,+delta] weight draws per delta; renormalize to sum 1; draws are generated by the reproduction pipeline",2026082001,"Use unweighted 4×12 TOPSIS decision matrix / vector-normalized R; apply perturbed global weights; recompute V, PIS/NIS, distances, CC.",APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,"Delete one terminal subcriterion from its FAHP local pairwise matrix, recompute that local fuzzy-AHP vector from the reduced reciprocal submatrix, keep the 3 main-criterion weights, regenerate global weights, remove deleted TOPSIS column, then recompute TOPSIS.",NONE — each parent retains at least two subcriteria after a single deletion,Exact equal CC values form a tied weak-order set; no arbitrary tie-break.,NONE source-defined beyond the completed robustness analyses.,NE,NONE,OUT_OF_SCOPE,APPLICABLE_TO_TERMINAL_WEIGHT_PERTURBATION
NP02,NP02_PRIMARY,APPLICABLE,C1_Adaptability=0.442530616744; C2_Financial=0.290640190976; C3_Simplicity=0.043198613600; C4_Provider_services=0.079679753874; C5_Implementation_approach=0.143950824804,results/reference/native/NP02/NP02_COMPUTED_OUTPUTS_PRECOMPARISON.csv; derived from D3 Table 2 criteria pairwise matrix,YES — final AHP synthesis is a scalar 5-criterion weighted sum of local alternative priorities,"delta={0.05,0.10,0.20,0.30,0.40}; 10,000 multiplicative independent Uniform[-delta,+delta] weight draws per delta; renormalize to sum 1; draws are generated by the reproduction pipeline",2026082002,Use prespecified 2×5 matrix of local alternative weights; multiply by perturbed criterion weights; recompute final weights/rank.,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,Remove deleted criterion row/column from the 5×5 criteria pairwise matrix; recompute AHP criterion priorities by the paper’s column-normalization/row-mean method on the 4×4 matrix; retain local alternative priorities for remaining criteria; synthesize final weights.,NONE,Exact equal final weights form tied set.,NONE source-defined beyond the completed robustness analyses.,NE,NONE,OUT_OF_SCOPE,APPLICABLE_TO_TERMINAL_WEIGHT_PERTURBATION
NP03,PRIMARY A_STRICT_EXPLICIT_DIRECTION plus prospectively parallel ERP04-cost ambiguity branch,APPLICABLE,ERP01=0.047900000000; ERP02=0.054200000000; ERP03=0.071100000000; ERP04=0.063900000000; ERP05=0.105700000000; ERP06=0.052400000000; ERP07=0.050700000000; ERP08=0.095700000000; ERP09=0.099500000000; ERP10=0.072500000000; ERP11=0.054000000000; ERP12=0.088800000000; ERP13=0.054200000000; ERP14=0.047100000000; ERP15=0.042300000000,results/reference/native/NP03/NP03_COMPUTED_OUTPUTS_PRECOMPARISON.csv; source Table 2 printed D2 weights,YES — scalar 15-criterion TOPSIS weight vector at the public D2 checkpoint,"delta={0.05,0.10,0.20,0.30,0.40}; 10,000 multiplicative independent Uniform[-delta,+delta] weight draws per delta; renormalize to sum 1; draws are generated by the reproduction pipeline",2026082003,Use prespecified Table-3 normalized matrix; apply perturbed weights; recompute PIS/NIS and Ci separately for both prespecified direction maps.,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,"Delete one Table-3 criterion row/weight, renormalize remaining scalar weights (common scaling is TOPSIS-invariant), and recompute PIS/NIS/distances/Ci from the D2 normalized checkpoint for both prespecified direction maps.",NONE,Exact equal Ci values form tied set.,Direction ambiguity is NOT native sensitivity; it is a prospectively parallel source-interpretation branch. No additional source-defined native parameter sensitivity identified.,docs/PUBLICATION_LABELS.csv,Identical terminal-weight perturbation draw realizations and identical criterion deletions are used for the primary and ERP04-cost parallel interpretation; branches are reported separately without outcome-based selection.,OUT_OF_SCOPE,APPLICABLE_WITH_PARALLEL_AMBIGUITY_BRANCH
NP04,NP04_PRIMARY_LITERAL only,NE,"EIS=[0.026,0.03]; SR=[0.052,0.061]; CMI=[0.012,0.013]; CS=[0.031,0.04]; EU=[0.092,0.128]; RS=[0.068,0.094]; SFR=[0.013,0.018]; QSS=[0.032,0.043]; F=[0.049,0.075]; IC=[0.063,0.064]; PC=[0.303,0.347]; MSC=[0.16,0.19]",data/extracted/native/NP04/NP04_EXTRACTION.csv; source Table 5 global rough weights,"NO — terminal weights are rough intervals, not a scalar vector; collapsing/defuzzifying is forbidden and no source-preserving interval renormalization is declared for the common random scalar stress",NE,NE,NE for terminal-weight perturbation analysis,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,"From the prespecified rough normalized alternative matrix, omit the deleted criterion and its rough-weighted term from the appropriate benefit/cost K and P aggregates; keep remaining printed rough weights unchanged; recompute Ysd/Ytd/Ysr/Ytr, family renormalizations, rough Y interval and crisp midpoint.",NONE — 9 benefit and 3 cost criteria at baseline; any single deletion leaves both groups nonempty,"Exact equal crisp Y values form tied set; if crisp tie is exact, retain tie rather than use interval endpoint ad hoc.",The source supplement defines deterministic DA1/DA2/DA3 weight-reallocation scenarios; those supplied scenario definitions are reproduced as source-defined sensitivity and are distinct from the terminal-weight perturbation analysis.,"NP04_Cao_2024_Supplement_Sensitivity_Analysis, sheets DA1/DA2/DA3",NONE; Table-6/rounding explanatory comparison outside the primary reconstruction is not a robustness baseline.,OUT_OF_SCOPE,TERMINAL_WEIGHT_PERTURBATION_NE; SINGLE_CRITERION_DELETION_APPLICABLE
NP05,ALL SIX p-HFC configurations co-primary; no source default,APPLICABLE,p-HFC_CE-I_Hamming: C1=0.163711961451929; C2=0.104197363848889; C3=0.281229067749088; C4=0.200890804670936; C5=0.0552935985778547; C6=0.194677203701304 || p-HFC_CE-I_Euclidean: C1=0.163197520546797; C2=0.1052278262145; C3=0.254955112729549; C4=0.251318394529152; C5=0.0506622885616967; C6=0.174638857418305 || p-HFC_CE-I_Hausdorff: C1=0.170614735144799; C2=0.10924026094502; C3=0.24801732224193; C4=0.269253498160241; C5=0.0505073838157965; C6=0.152366799692215 || p-HFC_CE-II_Hamming: C1=0.165829145728643; C2=0.105527638190955; C3=0.28140703517588; C4=0.195979899497487; C5=0.0552763819095478; C6=0.195979899497487 || p-HFC_CE-II_Euclidean: C1=0.16552359608564; C2=0.106698558410834; C3=0.255711498603149; C4=0.245477194842421; C5=0.0508023229673731; C6=0.175786829090584 || p-HFC_CE-II_Hausdorff: C1=0.173210161662818; C2=0.110854503464203; C3=0.249422632794457; C4=0.263279445727483; C5=0.0508083140877599; C6=0.152424942263279,results/reference/native/NP05/NP05_INTERMEDIATES.csv; source Table 16 reports six criterion-weight vectors,YES — each p-HFC configuration has its own scalar 6-criterion weight vector used by the native weighted-HFE/COPRAS chain,"delta={0.05,0.10,0.20,0.30,0.40}; 10,000 multiplicative independent Uniform[-delta,+delta] weight draws per delta; renormalize to sum 1; draws are generated by the reproduction pipeline; use the same seed/draw perturbation factors across all six configurations to prevent configuration-specific Monte Carlo noise",2026082005,"For each of six configurations separately, start from unweighted HFEs; apply perturbed weights via Eq.(4), recompute P-HFE scores, column normalization, benefit/cost sums, COPRAS Q and U%.",APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,"For deletions C1–C5: remove the criterion, recompute each configuration’s entropy-distance weight normalization over remaining criteria, reapply weighted-HFE transformation, P-HFE score, normalization, and COPRAS. Run all six configurations for every permitted deletion.",C6 — it is the sole cost criterion; deleting it leaves an empty cost set and the native COPRAS cost-side formula contains divisions involving S_i^-; no all-benefit repair is defined in the source.,Exact equal U% (equivalently Q ordering after max normalization) forms tied set.,"No additional parameter sweep is source-defined. CE-I/CE-II × Hamming/Euclidean/Hausdorff are baseline configurations, not a post hoc sensitivity choice; q=2 and beta=3 remain fixed source constants.",NP05_Akpinar_2025 PDF implementation section and Tables 16–17,All six co-primary configurations are reported together without outcome-based selection.,OUT_OF_SCOPE,TERMINAL_WEIGHT_PERTURBATION_APPLICABLE_ALL_SIX; SINGLE_CRITERION_DELETION_C1_C5_ONLY
NP06,NP06_PRIMARY interacting 2-additive Choquet model,NE,phi1=0.4375; phi2=0.2083; phi3=0.3542; I12=0.0417; I13=0.0; I23=0.0417,data/extracted/native/NP06/NP06_EXTRACTION.csv; source Table 7 Shapley indices + pairwise interactions,"NO — final aggregation is nonadditive Choquet with Shapley indices/interactions; there is no defensible scalar terminal-weight vector unless interactions are discarded, which would change the native model",NE,NE,NE,NE,NE,NE — deleting one of the three terminal criteria requires a reduced/re-elicited capacity/interactions. The source gives no prospective rule for converting the 3-criterion Shapley/interaction object into a 2-criterion deleted model; simple scalar renormalization would not preserve the native nonadditive semantics.,ALL three terminal criteria for single-criterion deletion analysis under current public design,NE for single-criterion deletion analysis,Source-defined native sensitivity: interaction-off/additive comparison (set pairwise interaction effects aside and use the source’s no-interaction formulation). Keep separate from terminal-weight perturbation and single-criterion deletion analyses and execute only under the prespecified source-defined sensitivity scope.,NP06_Gurbuz_2012 PDF Discussion / Choquet method section; source explicitly contrasts interacting and interaction-ignored models,NONE,OUT_OF_SCOPE,TERMINAL_WEIGHT_AND_SINGLE_CRITERION_DELETION_NE; NATIVE_INTERACTION_SENSITIVITY_SEPARATE
NP07,Kılıç et al. 2015 executable baseline; Temur & Bolat 2018 linked but non-executable,APPLICABLE,Brand image=0.109900000000; Market position=0.043900000000; References=0.036100000000; Vision=0.012500000000; Implementation cost=0.086700000000; Purchasing cost=0.221800000000; Service & support cost=0.124000000000; Compatibility=0.101600000000; Cross-module integration=0.077200000000; Functionality=0.164100000000; Reliability=0.022200000000,data/standardized/runtime/R1C/NP07/NP07_EXTRACTION.csv; source NP07_Kilic_2015 Table 1 ANP criterion weights,YES — PROMETHEE II aggregates per-criterion preferences with a scalar 11-weight vector,"delta={0.05,0.10,0.20,0.30,0.40}; 10,000 multiplicative independent Uniform[-delta,+delta] weight draws per delta; renormalize to sum 1; draws are generated by the reproduction pipeline",2026082007,Use the prespecified 5×11 performance matrix and V-shape p=2 preference functions; apply perturbed normalized weights to pairwise preference indices; recompute positive/negative/net flows.,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,"Delete one criterion from the prespecified performance/preference-weight system, renormalize the remaining printed ANP weights to sum 1, recompute pairwise PROMETHEE preferences and net flows; upstream ANP is not reconstructed because D2 judgments are unavailable.",NONE,Exact equal net flows form tied set.,Linked Temur & Bolat 2018 CBDO robustness reanalysis is source-defined but exact replication is NE because random GUI starting state/seed and implementation codes are not public. PROMETHEE p=2 remains fixed; no source-backed threshold sweep is prespecified.,results/reference/native/NP07/NP07_COMPUTED_OUTPUTS_PRECOMPARISON.csv; NP07_Temur_Bolat_2018 PDF scenario/settings sections,No CBDO emulation or surrogate of the undocumented stochastic state is used.,OUT_OF_SCOPE,KILIC_BASELINE_APPLICABLE_TO_TERMINAL_WEIGHT_AND_SINGLE_CRITERION_DELETION; NP07_TEMUR_BOLAT_REANALYSIS_NE
NP08,NO valid terminal robustness baseline under documented source resolution,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,ALL — no uniquely defined terminal LP solution/tie-break to serve as baseline,NE,NE — no terminally identified baseline; h=1 and other method constants are not to be varied to manufacture evaluability.,docs/KNOWN_NE_AND_LIMITATIONS.md; documented source interpretation,Solver-specific reconstructed ranks are not used as robustness branches.,OUT_OF_SCOPE,NE_ALL_ROBUSTNESS_DIAGNOSTICS
NP09,NO valid terminal robustness baseline under documented source resolution,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,ALL — literal native chain halts non-finitely before terminal weights/output,NE,NE — no epsilon/clipping/alternate normalization may be introduced as sensitivity because none is documented.,docs/KNOWN_NE_AND_LIMITATIONS.md; documented source interpretation,Solver-specific reconstructed ranks are not used as robustness branches.,OUT_OF_SCOPE,NE_ALL_ROBUSTNESS_DIAGNOSTICS
NP10,NO valid terminal robustness baseline; source-resolved D0/O3,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,ALL — source does not uniquely specify the case-study cost/benefit map and referenced Supplementary Tables S1–S6 are absent,NE,Supplementary Tables S1–S6 and the operative direction mapping are unavailable in the documented public source chain; no native sensitivity is uniquely executable from that source chain.,results/reference/resolved/NP10_SOURCE_GAPS.csv; docs/KNOWN_NE_AND_LIMITATIONS.md,No unique terminal baseline can be defined from the documented public source chain; robustness diagnostics are therefore NE at D0/O3.,OUT_OF_SCOPE,NE_ALL_ROBUSTNESS_DIAGNOSTICS_AT_D0
