input_group,criterion,alternative,decision_maker,linguistic_term,value,direction,parameter,source_file,locator,note
linguistic_scale,,,,EG,1.0,,,NP05_Akpinar_2025,"PDF p10, Table 1",Linguistic membership degree
linguistic_scale,,,,VVG,0.9,,,NP05_Akpinar_2025,"PDF p10, Table 1",Linguistic membership degree
linguistic_scale,,,,VG,0.8,,,NP05_Akpinar_2025,"PDF p10, Table 1",Linguistic membership degree
linguistic_scale,,,,G,0.7,,,NP05_Akpinar_2025,"PDF p10, Table 1",Linguistic membership degree
linguistic_scale,,,,MG,0.6,,,NP05_Akpinar_2025,"PDF p10, Table 1",Linguistic membership degree
linguistic_scale,,,,F,0.5,,,NP05_Akpinar_2025,"PDF p10, Table 1",Linguistic membership degree
linguistic_scale,,,,MP,0.4,,,NP05_Akpinar_2025,"PDF p10, Table 1",Linguistic membership degree
linguistic_scale,,,,P,0.3,,,NP05_Akpinar_2025,"PDF p10, Table 1",Linguistic membership degree
linguistic_scale,,,,VP,0.2,,,NP05_Akpinar_2025,"PDF p10, Table 1",Linguistic membership degree
linguistic_scale,,,,VVP,0.1,,,NP05_Akpinar_2025,"PDF p10, Table 1",Linguistic membership degree
linguistic_rating,C1,A1,DM1,G,,benefit,,NP05_Akpinar_2025,"PDF p14, Table 2",Four decision-maker linguistic ratings
linguistic_rating,C1,A1,DM2,MG,,benefit,,NP05_Akpinar_2025,"PDF p14, Table 2",Four decision-maker linguistic ratings
linguistic_rating,C1,A1,DM3,G,,benefit,,NP05_Akpinar_2025,"PDF p14, Table 2",Four decision-maker linguistic ratings
linguistic_rating,C1,A1,DM4,F,,benefit,,NP05_Akpinar_2025,"PDF p14, Table 2",Four decision-maker linguistic ratings
linguistic_rating,C1,A2,DM1,VG,,benefit,,NP05_Akpinar_2025,"PDF p14, Table 2",Four decision-maker linguistic ratings
linguistic_rating,C1,A2,DM2,G,,benefit,,NP05_Akpinar_2025,"PDF p14, Table 2",Four decision-maker linguistic ratings
linguistic_rating,C1,A2,DM3,VG,,benefit,,NP05_Akpinar_2025,"PDF p14, Table 2",Four decision-maker linguistic ratings
linguistic_rating,C1,A2,DM4,G,,benefit,,NP05_Akpinar_2025,"PDF p14, Table 2",Four decision-maker linguistic ratings
linguistic_rating,C1,A3,DM1,F,,benefit,,NP05_Akpinar_2025,"PDF p14, Table 2",Four decision-maker linguistic ratings
linguistic_rating,C1,A3,DM2,P,,benefit,,NP05_Akpinar_2025,"PDF p14, Table 2",Four decision-maker linguistic ratings
linguistic_rating,C1,A3,DM3,F,,benefit,,NP05_Akpinar_2025,"PDF p14, Table 2",Four decision-maker linguistic ratings
linguistic_rating,C1,A3,DM4,P,,benefit,,NP05_Akpinar_2025,"PDF p14, Table 2",Four decision-maker linguistic ratings
linguistic_rating,C2,A1,DM1,P,,benefit,,NP05_Akpinar_2025,"PDF p14, Table 2",Four decision-maker linguistic ratings
