input_group,expert,alternative,criterion,item,value_1,value_2,value_3,source_file,locator,note
linguistic_semantics,,,,A0,0,0,0.12,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,A1,0,0.12,0.25,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,A2,0.12,0.25,0.37,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,A3,0.25,0.37,0.5,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,A4,0.37,0.5,0.62,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,A5,0.5,0.62,0.75,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,A6,0.62,0.75,0.87,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,A7,0.75,0.87,1,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,A8,0.87,1,1,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,B0,0,0,0.16,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,B1,0,0.16,0.33,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,B2,0.16,0.33,0.5,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,B3,0.33,0.5,0.66,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,B4,0.5,0.66,0.83,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,B5,0.66,0.83,1,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,B6,0.83,1,1,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,C0,0,0,0.25,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,C1,0,0.25,0.5,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,C2,0.25,0.5,0.75,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
linguistic_semantics,,,,C3,0.5,0.75,1,NP08_Liao_Li_Lu_2007,"PDF p10, Table 1","triangular fuzzy membership (left, mode, right)"
