NP_ID,baseline_id,baseline_role,publication_model_configuration,Final_D,O,native_evaluability,robustness_baseline_status,baseline_winner,baseline_complete_weak_order,baseline_metric,source_reconstruction_artifact_locator,ambiguity_branch_required,ambiguity_branch_definition,baseline_note
NP01,NP01_PRIMARY,PRIMARY,"Kılıç, Zaim & Delen 2014 — Fuzzy AHP + TOPSIS — prespecified literal D3 chain",D3,O3,EVALUABLE,DEFINED,A,A > D > C > B,TOPSIS CC descending,results/reference/native/NP01/NP01_COMPUTED_OUTPUTS_PRECOMPARISON.csv; src/reference_implementations/native/NP01_RECONSTRUCTION.py; source NP01_Kilic_2014 Tables 2–5 and 12,NO,,Use the prespecified primary full-precision D3 reconstruction; no score-matching branch is used.
NP02,NP02_PRIMARY,PRIMARY,Motaki & Kamach 2017 — AHP — prespecified literal D3 chain,D3,O3,EVALUABLE,DEFINED,ERP_A,ERP_A > ERP_B,AHP final weight descending,results/reference/native/NP02/NP02_COMPUTED_OUTPUTS_PRECOMPARISON.csv; src/reference_implementations/native/NP02_RECONSTRUCTION.py; source Tables 2 and 6–10,NO,,Full-precision D3 pairwise-derived weights are used rather than printed rounded final multiplication.
NP03,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,Thanh 2022 — Fuzzy AHP + TOPSIS — A_STRICT_EXPLICIT_DIRECTION (ERP03 cost only),D2,O3,EVALUABLE_FROM_PUBLIC_CHECKPOINT,DEFINED,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,TOPSIS Ci descending,results/reference/native/NP03/NP03_COMPUTED_OUTPUTS_PRECOMPARISON.csv; src/reference_implementations/native/NP03_RECONSTRUCTION.py; source Table 2 weights + Table 3 normalized matrix,YES,ERP04-as-cost is a prespecified parallel plausible interpretation; both interpretations use identical perturbation and deletion realizations and are reported separately without outcome-based selection.,A_STRICT_EXPLICIT_DIRECTION is the primary interpretation. Winner/rank/score reconstruction facts remain distinct from robustness results.
NP03,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,Thanh 2022 — prespecified second direction interpretation (ERP03 + ERP04 cost),D2,O3,EVALUABLE_FROM_PUBLIC_CHECKPOINT,PARALLEL_INTERPRETATION_ONLY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,TOPSIS Ci descending,source Table 1 direction text + Tables 2–3,YES,ERP04-as-cost is a prespecified parallel plausible interpretation and is not a replacement baseline.,The parallel interpretation uses the same perturbation and deletion realizations as the primary interpretation; branches are reported separately and are never selected by outcome.
NP04,NP04_PRIMARY_LITERAL,PRIMARY,Cao et al. 2024 — Rough BWM + Rough WISP — prespecified primary literal raw-supplement branch,D3,O3,EVALUABLE,DEFINED,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,Rough WISP crisp Y descending,results/reference/native/NP04/NP04_COMPUTED_OUTPUTS_PRECOMPARISON.csv; src/reference_implementations/native/NP04_RECONSTRUCTION.py; raw Managers supplement + source Table 5 rough weights,NO,,The Table-6/rounding explanatory comparison is outside the primary reconstruction and is not used as the robustness baseline.
NP05,NP05_ENSEMBLE_1,CO-PRIMARY_ENSEMBLE,p-HFC_CE-I_Hamming,D3,O3,EVALUABLE,DEFINED_ALL_SIX,A2,A2 > A1 > A3,p-HFC COPRAS U% descending,results/reference/native/NP05/NP05_COMPUTED_OUTPUTS_PRECOMPARISON.csv (p-HFC_CE-I_Hamming); results/reference/native/NP05/NP05_INTERMEDIATES.csv; source Tables 16–17,NO,,Source does not define a primary/default among CE-I/CE-II × Hamming/Euclidean/Hausdorff. All six are co-primary robustness configurations and are summarized without outcome-based selection.
NP05,NP05_ENSEMBLE_2,CO-PRIMARY_ENSEMBLE,p-HFC_CE-I_Euclidean,D3,O3,EVALUABLE,DEFINED_ALL_SIX,A2,A2 > A1 > A3,p-HFC COPRAS U% descending,results/reference/native/NP05/NP05_COMPUTED_OUTPUTS_PRECOMPARISON.csv (p-HFC_CE-I_Euclidean); results/reference/native/NP05/NP05_INTERMEDIATES.csv; source Tables 16–17,NO,,Source does not define a primary/default among CE-I/CE-II × Hamming/Euclidean/Hausdorff. All six are co-primary robustness configurations and are summarized without outcome-based selection.
NP05,NP05_ENSEMBLE_3,CO-PRIMARY_ENSEMBLE,p-HFC_CE-I_Hausdorff,D3,O3,EVALUABLE,DEFINED_ALL_SIX,A2,A2 > A1 > A3,p-HFC COPRAS U% descending,results/reference/native/NP05/NP05_COMPUTED_OUTPUTS_PRECOMPARISON.csv (p-HFC_CE-I_Hausdorff); results/reference/native/NP05/NP05_INTERMEDIATES.csv; source Tables 16–17,NO,,Source does not define a primary/default among CE-I/CE-II × Hamming/Euclidean/Hausdorff. All six are co-primary robustness configurations and are summarized without outcome-based selection.
NP05,NP05_ENSEMBLE_4,CO-PRIMARY_ENSEMBLE,p-HFC_CE-II_Hamming,D3,O3,EVALUABLE,DEFINED_ALL_SIX,A2,A2 > A1 > A3,p-HFC COPRAS U% descending,results/reference/native/NP05/NP05_COMPUTED_OUTPUTS_PRECOMPARISON.csv (p-HFC_CE-II_Hamming); results/reference/native/NP05/NP05_INTERMEDIATES.csv; source Tables 16–17,NO,,Source does not define a primary/default among CE-I/CE-II × Hamming/Euclidean/Hausdorff. All six are co-primary robustness configurations and are summarized without outcome-based selection.
NP05,NP05_ENSEMBLE_5,CO-PRIMARY_ENSEMBLE,p-HFC_CE-II_Euclidean,D3,O3,EVALUABLE,DEFINED_ALL_SIX,A2,A2 > A1 > A3,p-HFC COPRAS U% descending,results/reference/native/NP05/NP05_COMPUTED_OUTPUTS_PRECOMPARISON.csv (p-HFC_CE-II_Euclidean); results/reference/native/NP05/NP05_INTERMEDIATES.csv; source Tables 16–17,NO,,Source does not define a primary/default among CE-I/CE-II × Hamming/Euclidean/Hausdorff. All six are co-primary robustness configurations and are summarized without outcome-based selection.
