NP_ID,dimension,categorical_value,source_reference,denominator_metadata,ne_no_semantics,branch_configuration_label,provenance
NP01,terminal_evaluability,EVALUABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP01,winner_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP01,complete_rank_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP01,score_agreement,NO,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP01,terminal_weight_perturbation,APPLICABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP01,single_criterion_deletion_preflight,APPLICABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP01,single_criterion_deletion_execution,RESULT-PRODUCING,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP01,native_sensitivity,NONE_SOURCE_DEFINED,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP02,terminal_evaluability,EVALUABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP02,winner_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP02,complete_rank_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP02,score_agreement,NO,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP02,terminal_weight_perturbation,APPLICABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP02,single_criterion_deletion_preflight,APPLICABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP02,single_criterion_deletion_execution,RESULT-PRODUCING,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP02,native_sensitivity,NONE_SOURCE_DEFINED,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP03,terminal_evaluability,EVALUABLE_FROM_PUBLIC_CHECKPOINT,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP03,winner_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP03,complete_rank_agreement,NO,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP03,score_agreement,NO,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP03,terminal_weight_perturbation,APPLICABLE (2 prespecified branches),INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP03,single_criterion_deletion_preflight,APPLICABLE (2 branches),INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP03,single_criterion_deletion_execution,RESULT-PRODUCING (2 branches),INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP03,native_sensitivity,NONE_SOURCE_DEFINED,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP04,terminal_evaluability,EVALUABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
