NP_ID,terminal_evaluability,native_reconstruction_summary,winner_agreement,complete_rank_agreement,score_agreement,primary_caveat,denominator_metadata,branch_configuration_label,source_reference,source_path,ne_no_semantics
NP01,EVALUABLE,Winner YES; full rank YES; scores NO,YES,YES,NO,Decision ranking reconstructs despite score-level mismatch; weight and deletion stress give different stability profiles.,9 terminally evaluable baseline lineages for winner-agreement synthesis; NE kept distinct,NP03 two preserved branches only in robustness; NP05 six co-primary configurations remain one lineage,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP02,EVALUABLE,Winner YES; full rank YES; scores NO,YES,YES,NO,Extremely stable to terminal-weight stress but one criterion deletion changes the winner.,9 terminally evaluable baseline lineages for winner-agreement synthesis; NE kept distinct,NP03 two preserved branches only in robustness; NP05 six co-primary configurations remain one lineage,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP03,EVALUABLE_FROM_PUBLIC_CHECKPOINT,Winner YES; full rank NO; scores NO,YES,NO,NO,"Winner survives reconstruction, but full order does not; robustness conclusion is highly sensitive to a prospectively preserved source-direction interpretation.",9 terminally evaluable baseline lineages for winner-agreement synthesis; NE kept distinct,NP03 two preserved branches only in robustness; NP05 six co-primary configurations remain one lineage,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP04,EVALUABLE,Winner YES; full rank YES; scores NO,YES,YES,NO,Winner retained 26/30 native scenarios. Supplement workbook has 20 systematic weight-record inconsistencies affecting scores but 0 complete-rank/winner changes; S16 has checkpoint/rounding-sensitive internal tie only.,9 terminally evaluable baseline lineages for winner-agreement synthesis; NE kept distinct,NP03 two preserved branches only in robustness; NP05 six co-primary configurations remain one lineage,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP05,EVALUABLE,"All 6 configurations: winner/rank YES; scores exact in 2/6, different in 4/6",YES_ALL_6_CONFIGURATIONS,YES_ALL_6_CONFIGURATIONS,EXACT_2_OF_6__DIFFERENT_4_OF_6,Winner is extremely stable while internal rank structure is much less stable under criterion deletion.,9 terminally evaluable baseline lineages for winner-agreement synthesis; NE kept distinct,NP03 two preserved branches only in robustness; NP05 six co-primary configurations remain one lineage,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP06,EVALUABLE,Winner YES; full rank YES; scores NO,YES,YES,NO,"Paper reports an interaction-off comparison, but the public source does not uniquely support a source-defined no-interaction reconstruction.",9 terminally evaluable baseline lineages for winner-agreement synthesis; NE kept distinct,NP03 two preserved branches only in robustness; NP05 six co-primary configurations remain one lineage,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP07,PARTIALLY_EVALUABLE,"Kılıç: winner/rank YES, scores NO; Temur exact CBDO replication NE",YES_KILIC_BASELINE,YES_KILIC_BASELINE,NO_KILIC_BASELINE__CBDO_EXACT_REPLICATION_NE,One of the clearest fragile cases across both robustness analyses; linked stochastic reanalysis is not exactly reproducible without undocumented random state/code.,9 terminally evaluable baseline lineages for winner-agreement synthesis; NE kept distinct,NP03 two preserved branches only in robustness; NP05 six co-primary configurations remain one lineage,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP08,NOT_TERMINALLY_EVALUABLE,NE under documented source resolution,NE,NE,NE,Literal LP is non-unique with zero-objective optima and no source tie-break; solver-specific terminal rank is not retained as a scientific finding.,9 terminally evaluable baseline lineages for winner-agreement synthesis; NE kept distinct,NP03 two preserved branches only in robustness; NP05 six co-primary configurations remain one lineage,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP09,NOT_EVALUABLE_LITERAL_METHOD_NONFINITE,NE under documented source resolution,NE,NE,NE,"Literal published chain reaches ln(0), with no documented epsilon/clipping repair.",9 terminally evaluable baseline lineages for winner-agreement synthesis; NE kept distinct,NP03 two preserved branches only in robustness; NP05 six co-primary configurations remain one lineage,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP10,NOT_UNIQUELY_EVALUABLE_FROM_SUPPLIED_PUBLIC_SOURCE,NE; no unique terminal baseline under the documented source limitation,NE,NE,NE,Referenced Supplementary Tables S1-S6 and operative case-study direction mapping are unavailable; source limitation documented.,9 terminally evaluable baseline lineages for winner-agreement synthesis; NE kept distinct,NP03 two preserved branches only in robustness; NP05 six co-primary configurations remain one lineage,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP11,EVALUABLE,Winner YES; full rank YES; scores NO,YES,YES,NO,"Highly stable under the evaluable terminal-weight perturbation analysis, but criterion-deletion robustness is not defensibly computable under the prespecified literal reduced-LFPP protocol.",9 terminally evaluable baseline lineages for winner-agreement synthesis; NE kept distinct,NP03 two preserved branches only in robustness; NP05 six co-primary configurations remain one lineage,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
NP12,EVALUABLE,Winner YES; full rank YES; scores YES,YES,YES,YES,Strong stability across both robustness analyses and the source-defined q/v sweep when judged by native VIKOR recommendation-set rules.,9 terminally evaluable baseline lineages for winner-agreement synthesis; NE kept distinct,NP03 two preserved branches only in robustness; NP05 six co-primary configurations remain one lineage,INTEGRATED_EVIDENCE_MATRIX,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv,NE=not evaluable/not applicable from documented public source chain; NO=evaluable test with negative agreement/result
