input_group,DM,alternative,criterion,value_1,value_2,value_3,source_file,locator,note
DM_credibility,Lambda1,,,0.35,0.6,,NP09_Mahapatra_2025,"PDF p7, Table 4",Capable/Average
DM_credibility,Lambda2,,,0.75,0.4,,NP09_Mahapatra_2025,"PDF p7, Table 4",Dominant/Very Significant
DM_credibility,Lambda3,,,0.9,0.1,,NP09_Mahapatra_2025,"PDF p7, Table 4",Expert/Excellent
criterion_rating_scale,,,CR-3,0.1,0.99,,NP09_Mahapatra_2025,"PDF p8, Table 5",Pythagorean fuzzy rating
criterion_rating_scale,,,CR-2,0.15,0.9,,NP09_Mahapatra_2025,"PDF p8, Table 5",Pythagorean fuzzy rating
criterion_rating_scale,,,CR-1,0.25,0.8,,NP09_Mahapatra_2025,"PDF p8, Table 5",Pythagorean fuzzy rating
criterion_rating_scale,,,CR0,0.4,0.7,,NP09_Mahapatra_2025,"PDF p8, Table 5",Pythagorean fuzzy rating
criterion_rating_scale,,,CR+1,0.6,0.55,,NP09_Mahapatra_2025,"PDF p8, Table 5",Pythagorean fuzzy rating
criterion_rating_scale,,,CR+2,0.75,0.4,,NP09_Mahapatra_2025,"PDF p8, Table 5",Pythagorean fuzzy rating
criterion_rating_scale,,,CR+3,0.9,0.2,,NP09_Mahapatra_2025,"PDF p8, Table 5",Pythagorean fuzzy rating
criterion_direction,,,Xi11,benefit,,,NP09_Mahapatra_2025,"PDF p6, Table 3 / PDF p8 Step I",B/C classification
criterion_direction,,,Xi12,benefit,,,NP09_Mahapatra_2025,"PDF p6, Table 3 / PDF p8 Step I",B/C classification
criterion_direction,,,Xi13,benefit,,,NP09_Mahapatra_2025,"PDF p6, Table 3 / PDF p8 Step I",B/C classification
criterion_direction,,,Xi14,benefit,,,NP09_Mahapatra_2025,"PDF p6, Table 3 / PDF p8 Step I",B/C classification
criterion_direction,,,Xi15,benefit,,,NP09_Mahapatra_2025,"PDF p6, Table 3 / PDF p8 Step I",B/C classification
criterion_direction,,,Xi21,benefit,,,NP09_Mahapatra_2025,"PDF p6, Table 3 / PDF p8 Step I",B/C classification
criterion_direction,,,Xi22,benefit,,,NP09_Mahapatra_2025,"PDF p6, Table 3 / PDF p8 Step I",B/C classification
criterion_direction,,,Xi23,benefit,,,NP09_Mahapatra_2025,"PDF p6, Table 3 / PDF p8 Step I",B/C classification
criterion_direction,,,Xi24,benefit,,,NP09_Mahapatra_2025,"PDF p6, Table 3 / PDF p8 Step I",B/C classification
criterion_direction,,,Xi31,cost,,,NP09_Mahapatra_2025,"PDF p6, Table 3 / PDF p8 Step I",B/C classification
criterion_direction,,,Xi32,cost,,,NP09_Mahapatra_2025,"PDF p6, Table 3 / PDF p8 Step I",B/C classification
criterion_direction,,,Xi33,cost,,,NP09_Mahapatra_2025,"PDF p6, Table 3 / PDF p8 Step I",B/C classification
