NP_ID,Study,Method,Final_D,O,Native_evaluability,Native_reconstruction,Terminal_weight_perturbation,Terminal_weight_perturbation_key_result,Single_criterion_deletion_preflight,Single_criterion_deletion_summary,Single_criterion_deletion_execution_status,Single_criterion_deletion_operation_type,Single_criterion_deletion_exact_denominator,Single_criterion_deletion_key_result,Native_sensitivity,Key_scientific_note
NP01,"Kılıç, Zaim & Delen 2014",Fuzzy AHP + TOPSIS,D3,O3,EVALUABLE,Winner YES; full rank YES; scores NO,APPLICABLE,Winner retention at δ=0.40: 0.7207,APPLICABLE,APPLICABLE,RESULT-PRODUCING,native reweighting after deletion,11/12 winner-retaining deletions,Winner retained 11/12 deletions (0.9167),NONE_SOURCE_DEFINED,Decision ranking reconstructs despite score-level mismatch; weight and deletion stress give different stability profiles.
NP02,Motaki & Kamach 2017,AHP,D3,O3,EVALUABLE,Winner YES; full rank YES; scores NO,APPLICABLE,Winner retention at δ=0.40: 0.9999,APPLICABLE,APPLICABLE,RESULT-PRODUCING,native reweighting after deletion,4/5,Winner retained 4/5 deletions (0.8000),NONE_SOURCE_DEFINED,Extremely stable to terminal-weight stress but one criterion deletion changes the winner.
NP03,Thanh 2022,Fuzzy AHP + TOPSIS,D2,O3,EVALUABLE_FROM_PUBLIC_CHECKPOINT,Winner YES; full rank NO; scores NO,APPLICABLE (2 prespecified branches),δ=0.40 winner retention: strict 0.9902; ERP04-cost parallel 0.4115,APPLICABLE (2 branches),APPLICABLE (2 prespecified branches),RESULT-PRODUCING (2 branches),terminal/native recomputation per prespecified TOPSIS branch; same deletion across both prespecified branches,strict 15/15; plausible-direction branch 10/15,Winner retained: strict 15/15; parallel 10/15,NONE_SOURCE_DEFINED,"Winner survives reconstruction, but full order does not; robustness conclusion is highly sensitive to a prospectively preserved source-direction interpretation."
NP04,Cao et al. 2024,Rough BWM + Rough WISP,D3,O3,EVALUABLE,Winner YES; full rank YES; scores NO,NE,NE under the terminal-weight perturbation analysis,APPLICABLE,APPLICABLE,RESULT-PRODUCING,prespecified literal Rough-WISP deletion chain,11/12,Winner retained 11/12 deletions (0.9167),EXECUTED: 30 source-defined Eq. (31) scenarios,Winner retained 26/30 native scenarios. Supplement workbook has 20 systematic weight-record inconsistencies affecting scores but 0 complete-rank/winner changes; S16 has checkpoint/rounding-sensitive internal tie only.
NP05,Akpinar et al. 2025,Probabilistic/hesitant fuzzy COPRAS,D3,O3,EVALUABLE,"All 6 configurations: winner/rank YES; scores exact in 2/6, different in 4/6",APPLICABLE (6 co-primary configurations),Winner retention 1.0000 for all six configurations at every δ,APPLICABLE (C1-C5; C6 prospectively NE),APPLICABLE_WITH_C6_NE,RESULT-PRODUCING (5 eligible deletions/configuration),terminal/native recomputation; C1-C5 only; C6 NE as sole cost criterion,5/5 eligible deletions in each of 6 co-primary configurations; C6 NE,Winner retained 5/5 eligible deletions in all 6 configurations; top-2 both retained only 1/5,NONE_SOURCE_DEFINED,Winner is extremely stable while internal rank structure is much less stable under criterion deletion.
NP06,Gürbüz et al. 2012,ANP + MACBETH + Choquet integral,D2,O3,EVALUABLE,Winner YES; full rank YES; scores NO,NE,NE,NE,NE,NE,NE,NE,NE: reduced Choquet capacity not defensibly reconstructible,PUBLICATION_REPORTED_ONLY__RECONSTRUCTION_NE,"Paper reports an interaction-off comparison, but the public source does not uniquely support a source-defined no-interaction reconstruction."
NP07,Kılıç et al. 2015 + Temur & Bolat 2018,ANP + PROMETHEE; linked CBDO reanalysis,D2/D3,O3/O2,PARTIALLY_EVALUABLE,"Kılıç: winner/rank YES, scores NO; Temur exact CBDO replication NE",APPLICABLE (Kılıç baseline only),Winner retention at δ=0.40: 0.5295,APPLICABLE (Kılıç baseline only),APPLICABLE (Kılıç baseline only),RESULT-PRODUCING (Kılıç baseline only),Kılıç 2015 executable baseline; method-compatible deletion,7/11,Winner retained 7/11 deletions (0.6364),NE for exact linked CBDO replication,One of the clearest fragile cases across both robustness analyses; linked stochastic reanalysis is not exactly reproducible without undocumented random state/code.
NP08,"Liao, Li & Lu 2007",2-tuple linguistic + LP/distance ranking,D3,O3,NOT_TERMINALLY_EVALUABLE,NE under documented source resolution,NE,NE,NE,NE,NE,NE,NE,NE,NE_METHOD_OR_SOURCE,Literal LP is non-unique with zero-objective optima and no source tie-break; solver-specific terminal rank is not retained as a scientific finding.
NP09,Mahapatra et al. 2025,Pythagorean fuzzy MOORA,D3,O3,NOT_EVALUABLE_LITERAL_METHOD_NONFINITE,NE under documented source resolution,NE,NE,NE,NE,NE,NE,NE,NE,NE_METHOD_OR_SOURCE,"Literal published chain reaches ln(0), with no documented epsilon/clipping repair."
NP10,Deb et al. 2024,Intuitionistic-fuzzy IMARCOS,D0,O3,NOT_UNIQUELY_EVALUABLE_FROM_SUPPLIED_PUBLIC_SOURCE,NE; no unique terminal baseline under the documented source limitation,NE,NE,NE,NE,NE,NE,NE,NE,NE_METHOD_OR_SOURCE,Referenced Supplementary Tables S1-S6 and operative case-study direction mapping are unavailable; source limitation documented.
