record_type,NP_ID,unit_id,action,parameter_or_target,value_or_factor,source_checkpoint,baseline_specification,downstream_rule,source_comparison,notes
CASE_INVENTORY,NP01,NP01,NONE_SOURCE_DEFINED,,,prespecified applicability inventory; no additional source-defined native sensitivity,prespecified baseline,No execution,,Terminal-weight perturbation and single-criterion deletion analyses remain separate; no additional source-defined sensitivity lever is available.
CASE_INVENTORY,NP02,NP02,NONE_SOURCE_DEFINED,,,prespecified applicability inventory; no additional source-defined native sensitivity,prespecified baseline,No execution,,No source-defined native sensitivity beyond the completed robustness analyses.
CASE_INVENTORY,NP03,NP03,NONE_SOURCE_DEFINED,,,"Direction ambiguity already handled as prospectively parallel interpretation branch, not native sensitivity",prespecified baseline,No execution,,Direction ambiguity is represented by the two prespecified interpretation branches and is not treated as native sensitivity.
CASE_INVENTORY,NP04,NP04,EXECUTED_NATIVE_SENSITIVITY,,,Cao et al. 2024 sensitivity section Eq.(31); source-resolved specification after documented source/implementation comparison; workbook comparison retained as secondary source evidence,prespecified baseline,See EXECUTION_UNIT rows,,Exactly 30 SOURCE_DEFINED_EQ31 scenarios S1-S30; PC/EU/MSC factors 0.95..0.05; rough endpoints preserved.
CASE_INVENTORY,NP05,NP05,NONE_SOURCE_DEFINED,,,Six p-HFC configurations are co-primary baselines; q=2 and beta=3 fixed,prespecified baseline,No execution,,The six co-primary configurations are baseline configurations rather than sensitivity levers.
CASE_INVENTORY,NP06,NP06,PUBLICATION_REPORTED_ONLY__RECONSTRUCTION_NE,,,"Gürbüz et al. 2012 reports interaction-off comparison, but public source does not uniquely supply operative no-interaction ANP chain/top-level judgments",prespecified baseline,No execution,,No surrogate calculation; source-reported A4>A1>A2>A3 retained contextually only.
CASE_INVENTORY,NP07,NP07,NE_METHOD_OR_SOURCE,,,Temur & Bolat 2018 CBDO robustness reanalysis has undocumented random GUI starting state/seed and implementation codes,prespecified baseline,No execution,,No CBDO emulation.
CASE_INVENTORY,NP08,NP08,NE_METHOD_OR_SOURCE,,,No terminally unique native baseline under documented source resolution,prespecified baseline,No execution,,No source-defined sensitivity branch is available.
CASE_INVENTORY,NP09,NP09,NE_METHOD_OR_SOURCE,,,Literal native chain nonfinite at public source,prespecified baseline,No execution,,No source-defined sensitivity branch is available.
CASE_INVENTORY,NP10,NP10,NE_METHOD_OR_SOURCE,,,D0/O3 source limitation; missing Qb/Qn map and Supplementary Tables S1–S6 unavailable in the documented public source chain,prespecified baseline,No execution,,No sensitivity is executable because the required source material and operative direction mapping are unavailable in the documented public source chain.
