NP_ID,diagnostic,scope,NE_reason,source_locator
NP04,terminal-weight perturbation analysis,entire analysis,Rough interval terminal weights cannot be collapsed to a scalar vector; no representation-preserving common random scalar perturbation/renormalization rule is supplied.,data/extracted/native/NP04/NP04_EXTRACTION.csv; source Table 5
NP05,single-criterion deletion analysis,deletion C6 only,"C6 is the only cost criterion. Native COPRAS uses a nonempty cost-side S_i^- term and reciprocal/division operations; deleting C6 leaves that side undefined, and no all-benefit repair is specified.",src/reference_implementations/native/NP05_RECONSTRUCTION.py; source implementation text
NP06,terminal-weight perturbation analysis,entire analysis,"Final aggregation is nonadditive 2-additive Choquet with Shapley indices and interaction terms, not a scalar terminal weight vector. Scalarization would change the model.",data/extracted/native/NP06/NP06_EXTRACTION.csv; source Table 7 / Eq. (1)
NP06,single-criterion deletion analysis,entire analysis,Single-criterion deletion requires a reduced capacity/re-elicited interaction object. The public method does not define how to convert the 3-criterion capacity to a deleted 2-criterion model prospectively.,src/reference_implementations/native/NP06_RECONSTRUCTION.py; source Choquet method
NP07,Linked native reanalysis,Temur & Bolat 2018 CBDO,Exact CBDO robustness replication is blocked by unreported random GUI starting state/seed and implementation codes; no surrogate is allowed.,results/reference/native/NP07/NP07_COMPUTED_OUTPUTS_PRECOMPARISON.csv; source scenario/settings sections
NP08,Robustness baseline,entire case,NOT_TERMINALLY_EVALUABLE under documented source resolution: literal LP has non-unique zero-objective optima and no source tie-break; solver-specific terminal rank is not retained scientifically.,data/extracted/native/NP08/NP08_EXTRACTION.csv; source literal LP specification
NP08,terminal-weight perturbation analysis,entire analysis,Prespecified NE: NE; no valid terminal baseline/unique terminal weights.,data/extracted/native/NP08/NP08_EXTRACTION.csv; docs/KNOWN_NE_AND_LIMITATIONS.md
NP08,single-criterion deletion analysis,entire analysis,Prespecified NE: NE; criterion deletion cannot be anchored to a unique native terminal solution.,data/extracted/native/NP08/NP08_EXTRACTION.csv; docs/KNOWN_NE_AND_LIMITATIONS.md
NP09,Robustness baseline,entire case,Literal Step V normalization forces component=1 and Eq.(6) ln(0); terminal native chain is nonfinite with no documented epsilon/repair.,data/extracted/native/NP09/NP09_EXTRACTION.csv; source Step V and Eq. (6)
NP09,terminal-weight perturbation analysis,entire analysis,Prespecified NE: NE; no finite terminal baseline/weight vector.,data/extracted/native/NP09/NP09_EXTRACTION.csv; docs/KNOWN_NE_AND_LIMITATIONS.md
NP09,single-criterion deletion analysis,entire analysis,NE; no source-defined shallower reconstruction is specified by the documented public source chain.,data/extracted/native/NP09/NP09_EXTRACTION.csv; docs/KNOWN_NE_AND_LIMITATIONS.md
NP10,Robustness baseline,entire case,Final D0/O3: the concrete Qb/Qn direction map is absent and Supplementary Tables S1–S6 are unavailable; therefore no unique terminal baseline is defined under the documented public source chain.,results/reference/resolved/NP10_SOURCE_GAPS.csv; docs/KNOWN_NE_AND_LIMITATIONS.md
NP10,terminal-weight perturbation analysis,entire analysis,Prespecified NE: NE at D0; no uniquely evaluable terminal baseline.,results/reference/resolved/NP10_SOURCE_GAPS.csv; docs/KNOWN_NE_AND_LIMITATIONS.md
NP10,single-criterion deletion analysis,entire analysis,Prespecified NE: NE at D0; no criterion-set stress may be forced by assuming missing directions.,results/reference/resolved/NP10_SOURCE_GAPS.csv; docs/KNOWN_NE_AND_LIMITATIONS.md
