NP_ID,single_criterion_deletion_applicability,operation_type,applicable_deletion_count,winner_or_recommendation_retention_share,winner_or_recommendation_critical_deletions,branch_configuration_caveat,preflight_status,execution_status,exact_denominator_publication,source_reference,denominator_metadata,ne_no_semantics,branch_configuration_label,provenance
NP01,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,12,0.916666666666667,1,,APPLICABLE,RESULT-PRODUCING,11/12 winner-retaining deletions,R2C_CROSS_CASE_SUMMARY + INTEGRATED_EVIDENCE_MATRIX,8 lineages preflight-applicable; 7 result-producing; 118 executed deletion rows; 47 NE spec rows,"NE is non-evaluable/not executed, not instability",NP03 two branches separate; NP05 six configs one lineage with C6 NE; NP11 preflight applicable -> execution NE,results/reference/robustness/R2C/R2C_CROSS_CASE_SUMMARY.csv
NP02,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,5,0.8,1,,APPLICABLE,RESULT-PRODUCING,4/5,R2C_CROSS_CASE_SUMMARY + INTEGRATED_EVIDENCE_MATRIX,8 lineages preflight-applicable; 7 result-producing; 118 executed deletion rows; 47 NE spec rows,"NE is non-evaluable/not executed, not instability",NP03 two branches separate; NP05 six configs one lineage with C6 NE; NP11 preflight applicable -> execution NE,results/reference/robustness/R2C/R2C_CROSS_CASE_SUMMARY.csv
NP03,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,15 unique criteria × 2 prospectively paired branches,primary=1; parallel=0.666666666666667,primary=0; parallel=5,two branches reported separately; no pooled denominator and no source-direction resolution from the single-criterion deletion analysis,APPLICABLE (2 branches),RESULT-PRODUCING (2 branches),strict 15/15; plausible-direction branch 10/15,R2C_CROSS_CASE_SUMMARY + INTEGRATED_EVIDENCE_MATRIX,8 lineages preflight-applicable; 7 result-producing; 118 executed deletion rows; 47 NE spec rows,"NE is non-evaluable/not executed, not instability",NP03 two branches separate; NP05 six configs one lineage with C6 NE; NP11 preflight applicable -> execution NE,results/reference/robustness/R2C/R2C_CROSS_CASE_SUMMARY.csv
NP04,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,12,0.916666666666667,1,,APPLICABLE,RESULT-PRODUCING,11/12,R2C_CROSS_CASE_SUMMARY + INTEGRATED_EVIDENCE_MATRIX,8 lineages preflight-applicable; 7 result-producing; 118 executed deletion rows; 47 NE spec rows,"NE is non-evaluable/not executed, not instability",NP03 two branches separate; NP05 six configs one lineage with C6 NE; NP11 preflight applicable -> execution NE,results/reference/robustness/R2C/R2C_CROSS_CASE_SUMMARY.csv
NP05,APPLICABLE_WITH_C6_NE,NATIVE_REWEIGHTING_AFTER_DELETION,5 unique criteria × 6 co-primary configurations; C6 NE,median_across_configs=1; range=1..1,median_across_configs=0; range=0..0,all six co-primary; descriptive across configurations only; no pooled denominator/selection of most stable,APPLICABLE (C1-C5; C6 prospectively NE),RESULT-PRODUCING (5 eligible deletions/configuration),5/5 eligible deletions in each of 6 co-primary configurations; C6 NE,R2C_CROSS_CASE_SUMMARY + INTEGRATED_EVIDENCE_MATRIX,8 lineages preflight-applicable; 7 result-producing; 118 executed deletion rows; 47 NE spec rows,"NE is non-evaluable/not executed, not instability",NP03 two branches separate; NP05 six configs one lineage with C6 NE; NP11 preflight applicable -> execution NE,results/reference/robustness/R2C/R2C_CROSS_CASE_SUMMARY.csv
NP06,NE,NE,0,NE,NE,reduced Choquet capacity not defensible,NE,NE,NE,R2C_CROSS_CASE_SUMMARY + INTEGRATED_EVIDENCE_MATRIX,8 lineages preflight-applicable; 7 result-producing; 118 executed deletion rows; 47 NE spec rows,"NE is non-evaluable/not executed, not instability",NP03 two branches separate; NP05 six configs one lineage with C6 NE; NP11 preflight applicable -> execution NE,results/reference/robustness/R2C/R2C_CROSS_CASE_SUMMARY.csv
NP07,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,11,0.636363636363636,4,NP07 counts Kılıç 2015 executable baseline only,APPLICABLE (Kılıç baseline only),RESULT-PRODUCING (Kılıç baseline only),7/11,R2C_CROSS_CASE_SUMMARY + INTEGRATED_EVIDENCE_MATRIX,8 lineages preflight-applicable; 7 result-producing; 118 executed deletion rows; 47 NE spec rows,"NE is non-evaluable/not executed, not instability",NP03 two branches separate; NP05 six configs one lineage with C6 NE; NP11 preflight applicable -> execution NE,results/reference/robustness/R2C/R2C_CROSS_CASE_SUMMARY.csv
NP08,NE,NE,0,NE,NE,no terminally unique baseline,NE,NE,NE,R2C_CROSS_CASE_SUMMARY + INTEGRATED_EVIDENCE_MATRIX,8 lineages preflight-applicable; 7 result-producing; 118 executed deletion rows; 47 NE spec rows,"NE is non-evaluable/not executed, not instability",NP03 two branches separate; NP05 six configs one lineage with C6 NE; NP11 preflight applicable -> execution NE,results/reference/robustness/R2C/R2C_CROSS_CASE_SUMMARY.csv
NP09,NE,NE,0,NE,NE,literal native chain nonfinite,NE,NE,NE,R2C_CROSS_CASE_SUMMARY + INTEGRATED_EVIDENCE_MATRIX,8 lineages preflight-applicable; 7 result-producing; 118 executed deletion rows; 47 NE spec rows,"NE is non-evaluable/not executed, not instability",NP03 two branches separate; NP05 six configs one lineage with C6 NE; NP11 preflight applicable -> execution NE,results/reference/robustness/R2C/R2C_CROSS_CASE_SUMMARY.csv
NP10,NE,NE,0,NE,NE,D0 source limitation; Qb/Qn map + S1–S6 unavailable,NE,NE,NE,R2C_CROSS_CASE_SUMMARY + INTEGRATED_EVIDENCE_MATRIX,8 lineages preflight-applicable; 7 result-producing; 118 executed deletion rows; 47 NE spec rows,"NE is non-evaluable/not executed, not instability",NP03 two branches separate; NP05 six configs one lineage with C6 NE; NP11 preflight applicable -> execution NE,results/reference/robustness/R2C/R2C_CROSS_CASE_SUMMARY.csv
NP11,NE,NE,0,NE,NE,NUMERICAL_NONUNIQUENESS_AND_SOLVER_FAILURE_UNDER_PRESPECIFIED_LITERAL_PROTOCOL,APPLICABLE AT PREFLIGHT,NE UNDER PRESPECIFIED REDUCED-LFPP SOLVER/NONUNIQUENESS CONDITION,NE after preflight applicability,R2C_CROSS_CASE_SUMMARY + INTEGRATED_EVIDENCE_MATRIX,8 lineages preflight-applicable; 7 result-producing; 118 executed deletion rows; 47 NE spec rows,"NE is non-evaluable/not executed, not instability",NP03 two branches separate; NP05 six configs one lineage with C6 NE; NP11 preflight applicable -> execution NE,results/reference/robustness/R2C/R2C_CROSS_CASE_SUMMARY.csv
NP12,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,18,1,0,native VIKOR recommendation set at q/v=0.5 is primary; top-Q leader secondary,APPLICABLE,RESULT-PRODUCING,18/18 native recommendation-set retention,R2C_CROSS_CASE_SUMMARY + INTEGRATED_EVIDENCE_MATRIX,8 lineages preflight-applicable; 7 result-producing; 118 executed deletion rows; 47 NE spec rows,"NE is non-evaluable/not executed, not instability",NP03 two branches separate; NP05 six configs one lineage with C6 NE; NP11 preflight applicable -> execution NE,results/reference/robustness/R2C/R2C_CROSS_CASE_SUMMARY.csv
