NP_ID,Publication_Identity,DOI_or_Stable_Record,Method_Family,Source_Records,Source_SHA256
NP01,"Kılıç, Zaim & Delen 2014",10.1016/j.dss.2014.06.011,Fuzzy AHP + TOPSIS,NP01_Kilic_2014,NP01_Kilic_2014=bd6d8c0862248c2bc3ccf8be832910db9f7d90a4192a847a1c7863f47e633857
NP02,Motaki & Kamach 2017,10.5120/ijca2017915636,AHP,NP02_Motaki_Kamach_2017,NP02_Motaki_Kamach_2017=50234edab2deac9f548edf7603b3d40783763b75d5da0d3d8bdfe37c3fed08f1
NP03,Thanh 2022,10.3390/systems10040095,Fuzzy AHP + TOPSIS,NP03_Thanh_2022,NP03_Thanh_2022=8c950bde89a55ff6ff0c220be26b61e6a52a9701718111b3abce9882c13b62ce
NP04,Cao et al. 2024,10.7717/peerj-cs.2096,Rough BWM + Rough WISP,NP04_Cao_2024 | NP04_Cao_2024_Supplement_Raw_Data | NP04_Cao_2024_Supplement_Rough_WISP | NP04_Cao_2024_Supplement_Sensitivity_Analysis,NP04_Cao_2024=d1ffcc5ad115499e3f6231cdbe7287d193d1faadbc8523bd7c84b0846fb008ee | NP04_Cao_2024_Supplement_Raw_Data=ce825605dadcf566e97ce28cccee570375d5201499d65430300d04f44ee6c74c | NP04_Cao_2024_Supplement_Rough_WISP=12576b3cc3a818ff3cadde0b144fbe1681b2f521c04094377df1c1db6395f5cd | NP04_Cao_2024_Supplement_Sensitivity_Analysis=d9c0e8a4798e825d6065591931e962a84ee0cb9215ff0739475ba03e2ed35659
NP05,Akpinar et al. 2025,10.3934/jimo.2025109,Probabilistic/hesitant fuzzy COPRAS,NP05_Akpinar_2025,NP05_Akpinar_2025=b0f42fa2ffae72f50e947e6219a3dbbc0c9a21582ff8c5c0ae82fca4fa071ae5
NP06,Gürbüz et al. 2012,10.1016/j.dss.2012.05.006,ANP + MACBETH + Choquet integral,NP06_Gurbuz_2012,NP06_Gurbuz_2012=1d093273877dc0c9545c49b663ffc0cb5895e1cf5e8d4fd713846eedbf52e7fd
NP07,Kılıç et al. 2015 + Temur & Bolat 2018,10.1016/j.eswa.2014.10.034 | 10.1108/JEIM-12-2017-0175,ANP + PROMETHEE; robust worst-case reanalysis,NP07_Kilic_2015 | NP07_Temur_Bolat_2018,NP07_Kilic_2015=9ff1bcd28cb27d271c7061ae05763580fdd96765db49d33d86bd05b5e0d42f1a | NP07_Temur_Bolat_2018=b21598f0e6708e1dc0b06f202fdb7c034bd95fcde9b77c626f693914a0642177
NP08,"Liao, Li & Lu 2007",10.1016/j.is.2006.10.005,2-tuple linguistic information + LP/distance ranking,NP08_Liao_Li_Lu_2007,NP08_Liao_Li_Lu_2007=9559813d260d7b23c6c5e7915b782af0e72d2d74bed4ce1889549c2b44479fc7
NP09,Mahapatra et al. 2025,10.1016/j.eswa.2024.125675,Pythagorean fuzzy MOORA,NP09_Mahapatra_2025,NP09_Mahapatra_2025=0752b4dca5fa91a4c09a794c55dcd63f5cc85ed9d62f42975280b2e0028382fe
NP10,Deb et al. 2024,10.1109/TEM.2022.3215608,Intuitionistic-fuzzy IMARCOS,NP10_Deb_2024,NP10_Deb_2024=5f5b1a8079f0871fd0c23d645df86bb15942fe6c3212f5ee8862971c45903454
NP11,Panjavongroj & Phruksaphanrat 2022,10.3233/JIFS-221476,LFPP + DEMATEL,NP11_Panjavongroj_Phruksaphanrat_2022,NP11_Panjavongroj_Phruksaphanrat_2022=c6cb656abfd7c652f7754a8fdd3b36395870ce3ebdd6667399f128837ad62926
NP12,Başar & Arslan 2017,https://dergipark.org.tr/en/pub/sduiibfd/issue/52995/704367,VIKOR,NP12_Basar_Arslan_2017,NP12_Basar_Arslan_2017=eeb1451d9e4786773373b405b0a7c1ab4c6698d0307476b11da154802a0c3a01
