NP_ID,configuration_or_branch,deleted_criterion,applicability,operation_type,source_checkpoint,baseline_id,baseline_role,baseline_winner,baseline_complete_weak_order,note,scope,terminal_weight_perturbation_rerun,native_sensitivity,decision_matrix_perturbation
NP01,NP01_PRIMARY,Cr1,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP01/NP01_EXTRACTION.csv — reduced fuzzy-AHP local reciprocal matrix + TOPSIS decision matrix,NP01_PRIMARY,PRIMARY,A,A > D > C > B,delete within own local FAHP parent; keep 3 main-criterion weights unchanged; regenerate global weights,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP01,NP01_PRIMARY,Cr2,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP01/NP01_EXTRACTION.csv — reduced fuzzy-AHP local reciprocal matrix + TOPSIS decision matrix,NP01_PRIMARY,PRIMARY,A,A > D > C > B,delete within own local FAHP parent; keep 3 main-criterion weights unchanged; regenerate global weights,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP01,NP01_PRIMARY,Cr3,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP01/NP01_EXTRACTION.csv — reduced fuzzy-AHP local reciprocal matrix + TOPSIS decision matrix,NP01_PRIMARY,PRIMARY,A,A > D > C > B,delete within own local FAHP parent; keep 3 main-criterion weights unchanged; regenerate global weights,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP01,NP01_PRIMARY,Cr4,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP01/NP01_EXTRACTION.csv — reduced fuzzy-AHP local reciprocal matrix + TOPSIS decision matrix,NP01_PRIMARY,PRIMARY,A,A > D > C > B,delete within own local FAHP parent; keep 3 main-criterion weights unchanged; regenerate global weights,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP01,NP01_PRIMARY,Cr5,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP01/NP01_EXTRACTION.csv — reduced fuzzy-AHP local reciprocal matrix + TOPSIS decision matrix,NP01_PRIMARY,PRIMARY,A,A > D > C > B,delete within own local FAHP parent; keep 3 main-criterion weights unchanged; regenerate global weights,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP01,NP01_PRIMARY,Cr6,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP01/NP01_EXTRACTION.csv — reduced fuzzy-AHP local reciprocal matrix + TOPSIS decision matrix,NP01_PRIMARY,PRIMARY,A,A > D > C > B,delete within own local FAHP parent; keep 3 main-criterion weights unchanged; regenerate global weights,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP01,NP01_PRIMARY,Cr7,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP01/NP01_EXTRACTION.csv — reduced fuzzy-AHP local reciprocal matrix + TOPSIS decision matrix,NP01_PRIMARY,PRIMARY,A,A > D > C > B,delete within own local FAHP parent; keep 3 main-criterion weights unchanged; regenerate global weights,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP01,NP01_PRIMARY,Cr8,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP01/NP01_EXTRACTION.csv — reduced fuzzy-AHP local reciprocal matrix + TOPSIS decision matrix,NP01_PRIMARY,PRIMARY,A,A > D > C > B,delete within own local FAHP parent; keep 3 main-criterion weights unchanged; regenerate global weights,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP01,NP01_PRIMARY,Cr9,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP01/NP01_EXTRACTION.csv — reduced fuzzy-AHP local reciprocal matrix + TOPSIS decision matrix,NP01_PRIMARY,PRIMARY,A,A > D > C > B,delete within own local FAHP parent; keep 3 main-criterion weights unchanged; regenerate global weights,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP01,NP01_PRIMARY,Cr10,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP01/NP01_EXTRACTION.csv — reduced fuzzy-AHP local reciprocal matrix + TOPSIS decision matrix,NP01_PRIMARY,PRIMARY,A,A > D > C > B,delete within own local FAHP parent; keep 3 main-criterion weights unchanged; regenerate global weights,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP01,NP01_PRIMARY,Cr11,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP01/NP01_EXTRACTION.csv — reduced fuzzy-AHP local reciprocal matrix + TOPSIS decision matrix,NP01_PRIMARY,PRIMARY,A,A > D > C > B,delete within own local FAHP parent; keep 3 main-criterion weights unchanged; regenerate global weights,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP01,NP01_PRIMARY,Cr12,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP01/NP01_EXTRACTION.csv — reduced fuzzy-AHP local reciprocal matrix + TOPSIS decision matrix,NP01_PRIMARY,PRIMARY,A,A > D > C > B,delete within own local FAHP parent; keep 3 main-criterion weights unchanged; regenerate global weights,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP02,NP02_PRIMARY,C1_Adaptability,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP02/NP02_EXTRACTION.csv — reduced criteria AHP matrix + retained local alternative priorities,NP02_PRIMARY,PRIMARY,ERP_A,ERP_A > ERP_B,,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP02,NP02_PRIMARY,C2_Financial,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP02/NP02_EXTRACTION.csv — reduced criteria AHP matrix + retained local alternative priorities,NP02_PRIMARY,PRIMARY,ERP_A,ERP_A > ERP_B,,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP02,NP02_PRIMARY,C3_Simplicity,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP02/NP02_EXTRACTION.csv — reduced criteria AHP matrix + retained local alternative priorities,NP02_PRIMARY,PRIMARY,ERP_A,ERP_A > ERP_B,,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
