input_id,kind,expert,alternative,criterion,value_text,value1,value2,value3,direction,source_status,source_locator
IFN_VVH,linguistic_map,,,,VVH,0.9,0.1,,,SOURCE_EXPLICIT,"PDF p.9, Table 3"
IFN_VH,linguistic_map,,,,VH,0.8,0.15,,,SOURCE_EXPLICIT,"PDF p.9, Table 3"
IFN_H,linguistic_map,,,,H,0.7,0.25,,,SOURCE_EXPLICIT,"PDF p.9, Table 3"
IFN_M,linguistic_map,,,,M,0.5,0.45,,,SOURCE_EXPLICIT,"PDF p.9, Table 3"
IFN_L,linguistic_map,,,,L,0.4,0.55,,,SOURCE_EXPLICIT,"PDF p.9, Table 3"
IFN_VL,linguistic_map,,,,VL,0.2,0.75,,,SOURCE_EXPLICIT,"PDF p.9, Table 3"
IFN_VVL,linguistic_map,,,,VVL,0.1,0.9,,,SOURCE_EXPLICIT,"PDF p.9, Table 3"
R_E1_A1_C1,rating,DE1,A1,C1,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C2,rating,DE1,A1,C2,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C3,rating,DE1,A1,C3,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C4,rating,DE1,A1,C4,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C5,rating,DE1,A1,C5,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C6,rating,DE1,A1,C6,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C7,rating,DE1,A1,C7,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C8,rating,DE1,A1,C8,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C9,rating,DE1,A1,C9,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C10,rating,DE1,A1,C10,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C11,rating,DE1,A1,C11,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
